0,0,0,0
0,0,79,178
0,0,104,176
0,0,129,174
0,0,189,172
0,0,255,5
0,0,255,170
0,19,79,168
0,25,104,166
0,31,129,164
0,39,79,158
0,46,189,162
0,52,104,156
0,59,79,148
0,63,255,160
0,64,129,154
0,78,104,146
0,79,0,98
0,79,19,108
0,79,39,118
0,79,59,128
0,79,79,138
0,94,189,152
0,96,129,144
0,104,0,96
0,104,25,106
0,104,52,116
0,104,78,126
0,104,104,136
0,127,255,150
0,129,0,94
0,129,31,104
0,129,64,114
0,129,96,124
0,129,129,134
0,141,189,142
0,189,0,92
0,189,46,102
0,189,94,112
0,189,141,122
0,189,189,132
0,191,255,140
0,255,0,3
0,255,0,90
0,255,63,100
0,255,127,110
0,255,191,120
0,255,255,4
0,255,255,130
19,0,79,188
19,79,0,88
25,0,104,186
25,104,0,86
31,0,129,184
31,129,0,84
39,0,79,198
39,79,0,78
46,0,189,182
46,189,0,82
51,51,51,250
52,0,104,196
52,104,0,76
53,53,79,179
53,59,79,169
53,66,79,159
53,73,79,149
53,79,53,99
53,79,59,109
53,79,66,119
53,79,73,129
53,79,79,139
59,0,79,208
59,53,79,189
59,79,0,68
59,79,53,89
63,0,255,180
63,255,0,80
64,0,129,194
64,129,0,74
65,65,65,8
66,53,79,199
66,79,53,79
69,69,104,177
69,78,104,167
69,86,104,157
69,95,104,147
69,104,69,97
69,104,78,107
69,104,86,117
69,104,95,127
69,104,104,137
73,53,79,209
73,79,53,69
78,0,104,206
78,69,104,187
78,104,0,66
78,104,69,87
79,0,0,18
79,0,19,248
79,0,39,238
79,0,59,228
79,0,79,218
79,19,0,28
79,39,0,38
79,53,53,19
79,53,59,249
79,53,66,239
79,53,73,229
79,59,0,48
79,59,53,29
79,66,53,39
79,73,53,49
79,79,0,58
79,79,53,59
80,80,80,251
86,69,104,197
86,86,129,175
86,96,129,165
86,104,69,77
86,107,129,155
86,118,129,145
86,129,86,95
86,129,96,105
86,129,107,115
86,129,118,125
86,129,129,135
94,0,189,192
94,189,0,72
95,69,104,207
95,104,69,67
96,0,129,204
96,86,129,185
96,129,0,64
96,129,86,85
104,0,0,16
104,0,25,246
104,0,52,236
104,0,78,226
104,0,104,216
104,25,0,26
104,52,0,36
104,69,69,17
104,69,78,247
104,69,86,237
104,69,95,227
104,69,104,217
104,78,0,46
104,78,69,27
104,86,69,37
104,95,69,47
104,104,0,56
104,104,69,57
105,105,105,252
107,86,129,195
107,129,86,75
118,86,129,205
118,129,86,65
126,126,189,173
126,141,189,163
126,157,189,153
126,173,189,143
126,189,126,93
126,189,141,103
126,189,157,113
126,189,173,123
126,189,189,133
127,0,255,190
127,255,0,70
128,128,128,9
129,0,0,14
129,0,31,244
129,0,64,234
129,0,96,224
129,0,129,214
129,31,0,24
129,64,0,34
129,86,86,15
129,86,96,245
129,86,107,235
129,86,118,225
129,86,129,215
129,96,0,44
129,96,86,25
129,107,86,35
129,118,86,45
129,129,0,54
129,129,86,55
130,130,130,253
141,0,189,202
141,126,189,183
141,189,0,62
141,189,126,83
157,126,189,193
157,189,126,73
170,170,255,171
170,191,255,161
170,212,255,151
170,234,255,141
170,255,170,91
170,255,191,101
170,255,212,111
170,255,234,121
170,255,255,131
173,126,189,203
173,189,126,63
189,0,0,12
189,0,46,242
189,0,94,232
189,0,141,222
189,0,189,212
189,46,0,22
189,94,0,32
189,126,126,13
189,126,141,243
189,126,157,233
189,126,173,223
189,126,189,213
189,141,0,42
189,141,126,23
189,157,126,33
189,173,126,43
189,189,0,52
189,189,126,53
190,190,190,254
191,0,255,200
191,170,255,181
191,255,0,60
191,255,170,81
212,170,255,191
212,255,170,71
234,170,255,201
234,255,170,61
255,0,0,1
255,0,0,10
255,0,63,240
255,0,127,230
255,0,191,220
255,0,255,6
255,0,255,210
255,63,0,20
255,127,0,30
255,170,170,11
255,170,191,241
255,170,212,231
255,170,234,221
255,170,255,211
255,191,0,40
255,191,170,21
255,212,170,31
255,234,170,41
255,255,0,2
255,255,0,50
255,255,170,51
255,255,255,7
255,255,255,255
