76,0,0,18,
127,0,0,16,
153,0,0,14,
204,0,0,12,
255,0,0,10,
76,19,0,28,
127,31,0,26,
153,38,0,24,
204,51,0,22,
255,63,0,20,
76,38,0,38,
127,63,0,36,
153,76,0,34,
204,102,0,32,
255,127,0,30,
76,57,0,48,
127,95,0,46,
153,114,0,44,
204,153,0,42,
255,191,0,40,
76,76,0,58,
127,127,0,56,
153,153,0,54,
204,204,0,52,
255,255,0,50,
57,76,0,68,
95,127,0,66,
114,153,0,64,
153,204,0,62,
191,255,0,60,
38,76,0,78,
63,127,0,76,
76,153,0,74,
102,204,0,72,
127,255,0,70,
19,76,0,88,
31,127,0,86,
38,153,0,84,
51,204,0,82,
63,255,0,80,
0,76,0,98,
0,127,0,96,
0,153,0,94,
0,204,0,92,
0,255,0,90,
0,76,19,108,
0,127,31,106,
0,153,38,104,
0,204,51,102,
0,255,63,100,
0,76,38,118,
0,127,63,116,
0,153,76,114,
0,204,102,112,
0,255,127,110,
0,76,57,128,
0,127,95,126,
0,153,114,124,
0,204,153,122,
0,255,191,120,
0,76,76,138,
0,127,127,136,
0,153,153,134,
0,204,204,132,
0,255,255,130,
0,57,76,148,
0,95,127,146,
0,114,153,144,
0,153,204,142,
0,191,255,140,
0,38,76,158,
0,63,127,156,
0,76,153,154,
0,102,204,152,
0,127,255,150,
0,19,76,168,
0,31,127,166,
0,38,153,164,
0,51,204,162,
0,63,255,160,
0,0,76,178,
0,0,127,176,
0,0,153,174,
0,0,204,172,
0,0,255,170,
19,0,76,188,
31,0,127,186,
38,0,153,184,
51,0,204,182,
63,0,255,180,
38,0,76,198,
63,0,127,196,
76,0,153,194,
102,0,204,192,
127,0,255,190,
57,0,76,208,
95,0,127,206,
114,0,153,204,
153,0,204,202,
191,0,255,200,
76,0,76,218,
127,0,127,216,
153,0,153,214,
204,0,204,212,
255,0,255,210,
76,0,57,228,
127,0,95,226,
153,0,114,224,
204,0,153,222,
255,0,191,220,
76,0,38,238,
127,0,63,236,
153,0,76,234,
204,0,102,232,
255,0,127,230,
76,0,19,248,
127,0,31,246,
153,0,38,244,
204,0,51,242,
255,0,63,240,
255,127,127,11,
204,102,102,13,
153,76,76,15,
127,63,63,17,
76,38,38,19,
255,159,127,21,
204,127,102,23,
153,95,76,25,
127,79,63,27,
76,47,38,29,
255,191,127,31,
204,153,102,33,
153,114,76,35,
127,95,63,37,
76,57,38,39,
255,223,127,41,
204,178,102,43,
153,133,76,45,
127,111,63,47,
76,66,38,49,
255,255,127,51,
204,204,102,53,
153,153,76,55,
127,127,63,57,
76,76,38,59,
223,255,127,61,
178,204,102,63,
133,153,76,65,
111,127,63,67,
66,76,38,69,
191,255,127,71,
153,204,102,73,
114,153,76,75,
95,127,63,77,
57,76,38,79,
159,255,127,81,
127,204,102,83,
95,153,76,85,
79,127,63,87,
47,76,38,89,
127,255,127,91,
102,204,102,93,
76,153,76,95,
63,127,63,97,
38,76,38,99,
127,255,159,101,
102,204,127,103,
76,153,95,105,
63,127,79,107,
38,76,47,109,
127,255,191,111,
102,204,153,113,
76,153,114,115,
63,127,95,117,
38,76,57,119,
127,255,223,121,
102,204,178,123,
76,153,133,125,
63,127,111,127,
38,76,66,129,
127,255,255,131,
102,204,204,133,
76,153,153,135,
63,127,127,137,
38,76,76,139,
127,223,255,141,
102,178,204,143,
76,133,153,145,
63,111,127,147,
38,66,76,149,
127,191,255,151,
102,153,204,153,
76,114,153,155,
63,95,127,157,
38,57,76,159,
127,159,255,161,
102,127,204,163,
76,95,153,165,
63,79,127,167,
38,76,76,169,
127,127,255,171,
102,102,204,173,
76,76,153,175,
63,63,127,177,
38,38,76,179,
159,127,255,181,
127,102,204,183,
95,76,153,185,
79,63,127,187,
47,38,76,189,
191,127,255,191,
153,102,204,193,
114,76,153,195,
95,63,127,197,
57,38,76,199,
223,127,255,201,
178,102,204,203,
133,76,153,205,
111,63,127,207,
66,38,76,209,
255,127,255,211,
204,102,204,213,
153,76,153,215,
127,63,127,217,
76,38,76,219,
255,127,223,221,
204,102,178,223,
153,76,133,225,
127,63,111,227,
76,38,66,229,
255,127,191,231,
204,102,153,233,
153,76,114,235,
127,63,95,237,
76,38,57,239,
255,127,159,241,
204,102,127,243,
153,76,95,245,
127,63,79,247,
76,38,47,249,
255,0,0,1,
255,255,0,2,
0,255,0,3,
0,255,255,4,
0,0,255,5,
255,0,255,6,
255,255,255,7,
128,128,128,8,
192,192,192,9,
51,51,51,250,
91,91,91,251,
132,132,132,252,
173,173,173,253,
214,214,214,254,
255,255,255,255,
